Date,Scrip,Open,High,Low,Close,Volume
20260312,00DS30,2038.02502,2069.56117,2026.60245,2066.24978,5915719000
20260312,00DSES,1062.28564,1081.9132,1060.651,1079.42342,5915719000
20260312,00DSEX,5292.19974,5379.49308,5276.13912,5368.40087,5915719000
20260312,00DSMEX,918.09703,941.85612,916.97153,930.61331,71721000
20260312,1JANATAMF,2.8,2.9,2.7,2.8,1330711
20260312,1STPRIMFMF,18,18.5,17.8,18.4,252540
20260312,AAMRANET,16.2,16.9,15.7,16.8,367324
20260312,AAMRATECH,12.4,13.3,12.1,13.3,579889
20260312,ABB1STMF,2.9,3,2.8,2.9,3525004
20260312,ABBANK,6.5,6.7,6.4,6.6,2056487
20260312,ABBLPBOND,1000,1000,1000,1000,5000
20260312,ACFL,17.5,17.8,17.3,17.5,21071
20260312,ACHIASF,41.7,41.7,39,39.1,1002
20260312,ACI,209.8,212.8,206.3,211.4,111771
20260312,ACIFORMULA,141.5,142.5,139.4,141.1,29062
20260312,ACMELAB,77.8,79.7,77.2,79.3,278258
20260312,ACMEPL,16.9,17.7,16.6,17.3,6738002
20260312,ACTIVEFINE,6.5,6.8,6.5,6.8,171198
20260312,ADNTEL,58.7,59.9,57.8,59.5,265355
20260312,ADVENT,13.2,13.6,13.2,13.5,143474
20260312,AFCAGRO,6.8,6.8,6.5,6.6,360123
20260312,AFTABAUTO,28.1,30.5,28.1,30.1,755765
20260312,AGNISYSL,20.7,21.1,20.4,21,428955
20260312,AGRANINS,21.5,21.7,21.2,21.5,72408
20260312,AIBL1STIMF,3.6,3.7,3.6,3.7,304822
20260312,AIL,29.6,31.4,29.2,30.9,675301
20260312,AL-HAJTEX,127,127.6,124.1,126.3,116558
20260312,ALARABANK,17.4,17.5,16.9,17.3,166344
20260312,ALIF,4.9,5,4.7,4.9,403772
20260312,ALLTEX,14.3,14.7,14.3,14.4,334135
20260312,AMANFEED,22.9,23.4,22.6,23.3,297260
20260312,AMBEEPHA,770,780,770,774.6,265
20260312,AMCL(PRAN),206.1,214.9,206.1,207.6,10547
20260312,AMPL,39.4,39.4,37.1,38.4,7005
20260312,ANLIMAYARN,21,21,19.8,19.9,184707
20260312,ANWARGALV,94.6,96.6,93.1,96,465680
20260312,AOL,15.6,16.2,15.6,16,207948
20260312,AOPLC,10.2,10.6,10.2,10.4,62220
20260312,APEXFOODS,226.6,226.9,223.5,225,12842
20260312,APEXFOOT,183.9,186,182.2,185.6,31450
20260312,APEXSPINN,186.6,194.7,186.6,192.4,37090
20260312,APEXTANRY,63.4,65.4,63.4,64.8,18814
20260312,APEXWEAV,7,7.2,6.5,6.6,21643
20260312,APOLOISPAT,3.8,3.8,3.5,3.7,2183589
20260312,ARAMIT,163,175,163,173.7,20389
20260312,ARAMITCEM,11,12.1,11,12,99700
20260312,ARGONDENIM,16.9,17,16.7,16.9,84836
20260312,ASIAINS,38,39,37.2,38.7,415663
20260312,ASIAPACINS,37,37.3,36.3,36.7,119618
20260312,ASIATICLAB,69.4,71,69.3,70,2387456
20260312,ATLASBANG,63.7,66.4,63.6,65.5,14724
20260312,AZIZPIPES,49.5,51.9,48.3,51.2,33613
20260312,BANGAS,117.1,121.2,116.9,120.3,46705
20260312,BANKASIA,22.4,22.5,22,22.4,2157084
20260312,BARKAPOWER,7.9,8.5,7.8,8.5,2469603
20260312,BATASHOE,843,843,840,841.6,11
20260312,BATBC,220,229.6,220,228.3,134659
20260312,BAYLEASING,6.1,6.1,5.9,6,664178
20260312,BBS,10.2,10.8,10.2,10.6,998597
20260312,BBSCABLES,16,16.9,16,16.6,642118
20260312,BDAUTOCA,137,141.3,135.8,139.9,30349
20260312,BDCOM,26.7,27.3,26.3,27.1,1411593
20260312,BDFINANCE,13.9,14.2,13.8,14.2,321685
20260312,BDLAMPS,137,137.8,133,135.4,9678
20260312,BDPAINTS,31.2,31.3,30.1,31.2,23028
20260312,BDTHAI,11.1,11.4,11,11.3,868356
