Date,Scrip,Open,High,Low,Close,Volume
20260625,00DS30,2127.48289,2133.42462,2123.18952,2131.15581,11107440000
20260625,00DSES,1140.32197,1145.85063,1139.6454,1143.65461,11107440000
20260625,00DSEX,5616.83456,5660.97175,5623.49939,5652.82297,11107440000
20260625,00DSMEX,1263.13721,1285.81465,1253.77272,1256.22123,59066000
20260625,1JANATAMF,3.1,3.2,3,3.1,279372
20260625,1STPRIMFMF,22.4,22.7,21.9,22.3,1380093
20260625,AAMRANET,19.6,19.8,19.5,19.6,255912
20260625,AAMRATECH,14.7,15.4,14.7,15.3,193765
20260625,ABB1STMF,3.2,3.3,3.1,3.2,2283880
20260625,ABBANK,5,5.1,4.9,4.9,608040
20260625,ACFL,23.9,24.4,23.8,24.2,144550
20260625,ACHIASF,36.8,36.8,35.9,36,15056
20260625,ACI,191.4,193.5,190.4,193,36135
20260625,ACIFORMULA,145.8,149.4,145,149.1,150505
20260625,ACMELAB,81,81.7,80.7,81.3,452374
20260625,ACMEPL,23.9,24,23.5,23.9,1688597
20260625,ACTIVEFINE,7,7.3,7,7.2,634794
20260625,ADNTEL,68.1,68.1,67,67.9,376107
20260625,ADVENT,15.7,16,15.6,15.7,422210
20260625,AFCAGRO,7.7,8,7.7,7.8,83118
20260625,AFTABAUTO,30.9,31,30.3,30.9,180585
20260625,AGNISYSL,29.6,30.1,29.6,30,2128493
20260625,AGRANINS,26.3,26.8,26.1,26.5,155180
20260625,AIBL1STIMF,4.2,4.3,4.1,4.2,1285969
20260625,AIL,33,34,32.5,33.7,136573
20260625,AL-HAJTEX,100.5,104.1,100.5,102.4,245492
20260625,ALARABANK,15,15.1,14,14.3,333038
20260625,ALIF,5.4,5.5,5.3,5.4,652376
20260625,ALLTEX,17.6,18.6,17.6,17.7,854672
20260625,AMANFEED,33.3,33.7,32.9,33.5,1018317
20260625,AMBEEPHA,756.5,756.6,755,756.3,899
20260625,AMCL(PRAN),218,222,218,220.4,9459
20260625,AMPL,73.5,79.7,73.5,78.7,61177
20260625,ANLIMAYARN,33.3,33.9,32.3,33,321080
20260625,ANWARGALV,117.4,120.9,116.5,118.9,714923
20260625,AOL,19.2,19.9,19.2,19.6,904035
20260625,AOPLC,11,11.4,10.8,10.9,255192
20260625,APEXFOODS,272.8,272.8,266.1,267,28198
20260625,APEXFOOT,200.4,205.7,200,204.8,143056
20260625,APEXSPINN,356,365.8,351.4,355.4,170872
