Date,Scrip,Open,High,Low,Close,Volume
20260415,00DS30,1981.04255,1995.45319,1983.80238,1984.20704,8364843000
20260415,00DSES,1057.99568,1069.50589,1059.13897,1066.73472,8364843000
20260415,00DSEX,5230.36589,5278.34533,5244.51956,5254.99886,8364843000
20260415,00DSMEX,1164.06901,1179.42152,1159.07345,1162.09782,86605000
20260415,1JANATAMF,3.2,3.3,3.1,3.1,1810722
20260415,1STPRIMFMF,19.1,19.5,18.8,18.9,606367
20260415,AAMRANET,16.3,16.4,16.2,16.2,163638
20260415,AAMRATECH,12.9,13.2,12.9,12.9,92030
20260415,ABB1STMF,3.5,3.6,3.3,3.4,7966688
20260415,ABBANK,6.1,6.1,5.9,5.9,2203075
20260415,ACFL,17.7,18.2,17.7,18.1,56633
20260415,ACHIASF,36.8,37.3,36.7,37.1,21760
20260415,ACI,208.1,213.6,208.1,211.6,173893
20260415,ACIFORMULA,138,141.8,138,140.5,36647
20260415,ACMELAB,75.4,75.9,75.4,75.7,86812
20260415,ACMEPL,26.2,27.8,26.2,27.4,7421333
20260415,ACTIVEFINE,6.8,7,6.8,6.9,309302
20260415,ADNTEL,62.6,63.9,62.3,62.6,404522
20260415,ADVENT,14.1,14.1,13.9,14.1,101633
20260415,AFCAGRO,7.1,7.2,6.9,7,372430
20260415,AFTABAUTO,27.9,28.2,27.8,27.9,141593
20260415,AGNISYSL,21.4,21.7,21.2,21.5,1177107
20260415,AIBL1STIMF,4.1,4.2,4.1,4.1,735428
20260415,AIL,28.8,29.2,28.5,28.9,94164
20260415,AL-HAJTEX,118.6,118.6,114.1,114.8,172557
20260415,ALARABANK,15.5,15.7,15.4,15.6,50216
20260415,ALIF,4.9,5,4.9,4.9,378922
20260415,ALLTEX,13.3,13.5,13.2,13.3,193109
20260415,AMANFEED,24.7,25.3,24.7,25.1,1126703
20260415,AMBEEPHA,753.4,764.9,753.4,759.3,348
20260415,AMCL(PRAN),215,218.9,212,212.4,7177
20260415,AMPL,42.3,43.6,42.3,43.3,49045
20260415,ANLIMAYARN,19.7,19.8,19.1,19.2,16829
20260415,ANWARGALV,97.6,101.5,97.6,99,1030615
20260415,AOL,16,16.3,16,16.1,223762
20260415,AOPLC,11.5,11.9,11.3,11.4,272169
20260415,APEXFOODS,244.2,244.2,240.6,241.2,24259
20260415,APEXFOOT,188.5,193,188.1,191,68265
20260415,APEXSPINN,236,251,236,248.4,251401
20260415,APEXTANRY,75.3,76.5,74.6,75.5,105593
20260415,APEXWEAV,7.4,7.8,7.4,7.5,169313
20260415,APOLOISPAT,3.8,3.8,3.7,3.7,536450
20260415,ARAMIT,176.6,178,174,175.1,15526
20260415,ARAMITCEM,11.6,12,11.5,11.6,11549
