Date,Scrip,Open,High,Low,Close,Volume
20260310,00DS30,1975.86096,2040.46371,1989.30204,2038.83597,5937309000
20260310,00DSES,1035.13632,1060.64177,1038.51477,1058.38123,5937309000
20260310,00DSEX,5141.41204,5298.46962,5174.02454,5289.69298,5937309000
20260310,00DSMEX,909.45389,934.14935,908.12205,908.12205,23134000
20260310,1JANATAMF,2.7,2.8,2.7,2.8,766223
20260310,1STPRIMFMF,17.6,17.8,17.3,17.7,140992
20260310,AAMRANET,15.5,15.9,15.5,15.9,79501
20260310,AAMRATECH,11.7,11.8,11.7,11.7,25780
20260310,ABB1STMF,2.8,2.9,2.8,2.8,2071076
20260310,ABBANK,6.7,6.8,6.5,6.6,4398657
20260310,ACFL,17.1,17.6,17.1,17.3,7291
20260310,ACHIASF,42.4,42.7,39.7,40.1,2301
20260310,ACI,203,209,201.2,207.8,168664
20260310,ACIFORMULA,139.4,141.6,136.5,141.3,35502
20260310,ACMELAB,77.5,79,76.9,78,268084
20260310,ACMEPL,16.7,16.9,16.5,16.6,1727329
20260310,ACTIVEFINE,6.8,6.8,6.6,6.7,272920
20260310,ADNTEL,56.8,58,56.3,57.6,263702
20260310,ADVENT,13.2,13.2,13,13.2,163733
20260310,AFCAGRO,6.8,7,6.6,6.8,119753
20260310,AFTABAUTO,27.3,28,27.2,27.9,185653
20260310,AGNISYSL,20.1,20.4,19.9,20.2,462470
20260310,AGRANINS,21.5,21.6,21,21.2,46273
20260310,AIBL1STIMF,3.6,3.7,3.6,3.6,63412
20260310,AIL,28.6,28.7,28.2,28.3,157383
20260310,AL-HAJTEX,128,128.8,124.7,127.8,125017
20260310,ALARABANK,17.3,18.1,17.3,17.6,685802
20260310,ALIF,4.8,5,4.7,4.9,334489
20260310,ALLTEX,14,14.2,13.9,14.1,180005
20260310,AMANFEED,22.8,22.8,22.4,22.7,174749
20260310,AMBEEPHA,770,789,765.1,778.8,454
20260310,AMCL(PRAN),206,208,205,205.8,6170
20260310,AMPL,37,37.9,36.7,37,21023
20260310,ANLIMAYARN,18.7,18.8,18.4,18.5,60682
20260310,ANWARGALV,91.2,94.4,91.2,94,564738
20260310,AOL,15.5,15.7,15.3,15.6,142215
20260310,AOPLC,9.9,9.9,9.5,9.9,4401
20260310,APEXFOODS,223.5,226,218.2,224.6,15184
20260310,APEXFOOT,185,185,180,182.1,53600
20260310,APEXSPINN,179,192.7,179,188.5,38043
20260310,APEXTANRY,64.7,64.7,62.3,63.6,9130
20260310,APEXWEAV,6.4,7,6.4,6.8,114371
20260310,APOLOISPAT,3.5,3.8,3.5,3.8,3505188
20260310,ARAMIT,161,165.8,161,163.4,3897
20260310,ARAMITCEM,11.8,11.8,11,11,10286
20260310,ARGONDENIM,16.4,16.7,16.3,16.5,80641
20260310,ASIAINS,35.2,38.2,35,37.8,836894
20260310,ASIAPACINS,34.1,36.8,34.1,36.2,161397
20260310,ASIATICLAB,65.4,67.2,65.4,66.8,970388
20260310,ATLASBANG,61,64.7,61,63.1,5591
20260310,AZIZPIPES,47.4,48.2,47.2,47.8,29149
20260310,BANGAS,117.3,117.3,115.3,116.7,38805
20260310,BANKASIA,21.7,22.5,21.7,22.4,4140592
20260310,BARKAPOWER,7.5,7.7,7.5,7.6,224764
20260310,BATASHOE,839.9,839.9,827,839,322
20260310,BATBC,218.7,229,218.5,228.2,248785
20260310,BAYLEASING,5.8,6,5.7,6,844145
20260310,BBS,10.2,10.4,10.1,10.3,819733
20260310,BBSCABLES,15.7,16.2,15.5,16,590389
20260310,BDAUTOCA,133.7,135.9,132,135.1,42753
20260310,BDCOM,25.9,26.3,25.6,26.1,577379
20260310,BDFINANCE,13.8,14.1,13.6,13.8,467256
20260310,BDLAMPS,133.7,138,133.7,136.5,6217
20260310,BDPAINTS,31.6,31.6,30.8,30.9,120592
20260310,BDTHAI,10.8,11,10.6,10.9,481176
20260310,BDTHAIFOOD,16.1,16.8,16,16.6,4113700
20260310,BDWELDING,16,16.9,16,16.6,74269
20260310,BEACHHATCH,30.4,30.9,29.9,30.4,277326
20260310,BEACONPHAR,100.9,102.5,100,101.9,166540
20260310,BENGALBISC,62,62,57,57.4,991
20260310,BENGALWTL,17.5,18,17.3,17.5,114625
20260310,BERGERPBL,1404.5,1412,1404.5,1408.6,7845
20260310,BESTHLDNG,12.5,12.8,12.5,12.8,88709
20260310,BEXGSUKUK,59.5,59.5,59.5,59.5,682
20260310,BEXIMCO,110.1,110.1,110.1,110.1,3
20260310,BGIC,31.4,31.6,31.4,31.6,70537
20260310,BIFC,6.8,7,6.8,7,546031
20260310,BNICL,52.2,55,51.7,53.9,376779
20260310,BPML,27.9,28.4,27.3,27.3,43504
20260310,BPPL,13.8,14,13.7,14,1206401
20260310,BRACBANK,65.5652173913044,69.5652173913044,64.8695652173913,68.6086956521739,2796054
20260310,BSC,107.4,109.3,107.4,108.6,421730
20260310,BSCPLC,140.6,143.5,139.1,142.9,33567
20260310,BSRMLTD,80.6,81.9,79.6,81.3,85170
20260310,BSRMSTEEL,70,70.8,67.2,70.2,86220
20260310,BXPHARMA,117,117.5,114.9,115.4,680393
20260310,CAPITECGBF,6.4,6.6,6.3,6.5,1140452
20260310,CAPMBDBLMF,10,10.3,9.8,10.1,1047565
20260310,CAPMIBBLMF,8.3,8.3,7.9,8.1,260671
20260310,CENTRALINS,39,39.7,38.6,39,710454
20260310,CENTRALPHL,8.4,8.7,8.3,8.5,301348
20260310,CITYBANK,26.695652173913,27.6521739130435,26.1739130434783,27.2173913043478,11920466
20260310,CITYGENINS,94.8,98.4,94.7,97,484131
20260310,CLICL,52.8,55,52.3,54.4,223787
20260310,CNATEX,3.5,3.6,3.3,3.5,2170142
20260310,CONFIDCEM,62.4,64.6,62.4,64.2,320235
20260310,CONTININS,23.8,24.2,23.6,24,105105
20260310,COPPERTECH,18,18.3,17.8,18.1,118833
20260310,CRAFTSMAN,28.5,29,27.2,28.2,18213
20260310,CROWNCEMNT,47,48.7,46.3,48,1488
20260310,CRYSTALINS,73.4,79.6,73.4,76.6,544508
20260310,CVOPRL,149.3,153.8,148.2,153,206902
20260310,DACCADYE,17.8,17.8,16.9,17.3,140912
20260310,DAFODILCOM,59.9,60.8,59.1,60.4,182857
20260310,DBH,38.3,38.3,36.4,37,211279
20260310,DBH1STMF,4.4,4.4,4.3,4.3,191024
20260310,DELTALIFE,69.9,71.2,69.9,71,41826
20260310,DELTASPINN,5.9,5.9,5.7,5.7,397730
20260310,DESCO,21,22,21,21.9,78432
20260310,DESHBANDHU,15.4,15.8,15.4,15.7,423708
20260310,DGIC,19.1,19.9,19.1,19.7,124231
20260310,DHAKABANK,12.8,13.1,12.6,13,4809013
20260310,DHAKAINS,36.5,37.6,36.5,37.4,43982
