Date,Scrip,Open,High,Low,Close,Volume
20260617,00DS30,2110.31014,2119.08166,2106.02112,2113.0473,12112955000
20260617,00DSES,1128.90013,1141.05456,1131.20155,1136.41661,12112955000
20260617,00DSEX,5605.57347,5644.39418,5603.35633,5621.62554,12112955000
20260617,00DSMEX,1331.68691,1349.30734,1288.28095,1290.0514,124014000
20260617,1JANATAMF,3,3.1,3,3,221396
20260617,1STPRIMFMF,20.8,21.4,20.2,20.3,1000748
20260617,AAMRANET,18.4,19.1,18.4,18.9,383981
20260617,AAMRATECH,14.7,15.3,14.4,14.7,157566
20260617,ABB1STMF,3.3,3.3,3.1,3.2,2111618
20260617,ABBANK,5,5.1,4.9,4.9,613801
20260617,ACFL,24.1,24.3,23.9,24.1,253225
20260617,ACHIASF,38,38.5,36.3,36.4,37025
20260617,ACI,190.4,190.4,188.2,189.4,63679
20260617,ACIFORMULA,143,144.8,142.6,142.8,39008
20260617,ACMELAB,79.6,80.9,79.5,80.1,491600
20260617,ACMEPL,24,24.9,24,24.4,4425637
20260617,ACTIVEFINE,7.1,7.4,7.1,7.3,654494
20260617,ADNTEL,67.2,69.6,66.5,68.7,942894
20260617,ADVENT,15.2,15.8,15.2,15.5,411386
20260617,AFCAGRO,7.8,8,7.8,7.9,276654
20260617,AFTABAUTO,31.9,32,31.3,31.8,275147
20260617,AGNISYSL,29.3,30.3,28.9,30.1,1768995
20260617,AGRANINS,27.7,27.7,26.5,26.7,246503
20260617,AIBL1STIMF,4.2,4.2,4.1,4.2,205480
20260617,AIL,34.2,34.9,34,34.3,150821
20260617,AL-HAJTEX,109,109.4,105.9,107.1,512807
20260617,ALARABANK,14.4,14.8,14.4,14.6,45210
20260617,ALIF,5.5,5.6,5.4,5.5,1300450
20260617,ALLTEX,16.6,17.2,16.6,17.1,196386
20260617,AMANFEED,34.8,35.4,34.6,35.1,1504065
20260617,AMBEEPHA,762.1,768,762,762,1081
20260617,AMCL(PRAN),218.3,220.3,216.1,216.9,6493
20260617,AMPL,88.1,88.1,83.1,83.6,22423
20260617,ANLIMAYARN,34,35.4,33.3,34.3,288538
20260617,ANWARGALV,118.7,119,116.3,116.7,621107
20260617,AOL,17.7,18.1,17.4,18,413317
20260617,AOPLC,11.8,12.5,11.4,11.5,243050
20260617,APEXFOODS,272.9,272.9,266,267.9,35364
20260617,APEXFOOT,203.5,203.5,198.9,199.7,102301
20260617,APEXSPINN,355,355,323.4,332.4,290102
20260617,APEXTANRY,104,104.9,100,100.7,203353
20260617,APEXWEAV,14.3,14.7,13.8,13.9,466921
20260617,APOLOISPAT,3.4,3.5,3.3,3.5,1684186
20260617,APSCLBOND,1116,1121,1116,1117,34
20260617,ARAMIT,191.9,191.9,186.1,189,20687
20260617,ARAMITCEM,12.7,13,12.5,12.6,99862
20260617,ARGONDENIM,19.7,20,19.6,19.7,1846770
20260617,ASIAINS,43.3,43.6,41.8,42,663389
20260617,ASIAPACINS,46.8,46.8,45.1,45.3,121262
20260617,ASIATICLAB,122,124.9,118,123.5,931721
20260617,ATLASBANG,68.3,69.4,68.3,69,4812
20260617,AZIZPIPES,80.4,82,78.1,78.7,160589
20260617,BANGAS,135.2,136.4,133.6,134.1,105713
20260617,BANKASIA,18.5,18.7,18.3,18.4,692225
20260617,BARKAPOWER,8.5,8.7,8.4,8.6,818868
20260617,BATASHOE,858.1,880,858.1,859.8,484
20260617,BATBC,212.5,214.9,211.9,212.2,150989
20260617,BAYLEASING,4.8,4.8,4.7,4.7,58450
20260617,BBS,15,16.2,14.8,16.1,14858400
20260617,BBSCABLES,24.5,25.4,24.2,24.8,5538910
20260617,BDAUTOCA,219.1,220.9,215,216.3,91652
20260617,BDCOM,30.5,33.1,30.2,33,5643034
20260617,BDFINANCE,13.8,13.9,13.5,13.5,397544
20260617,BDLAMPS,176.3,179.4,175,175.2,43042
20260617,BDPAINTS,51.5,51.5,47,47.4,396575
20260617,BDTHAI,21,21,20,20.3,10424256
20260617,BDTHAIFOOD,30.9,31,28.7,29.2,4487210
20260617,BDWELDING,16.4,16.4,15.6,15.8,154807
20260617,BEACHHATCH,32.9,35.3,32.9,34,760148
20260617,BEACONPHAR,108.7,111.4,108.1,108.5,387118
20260617,BENGALBISC,80,83.3,76.3,76.3,6432
20260617,BENGALWTL,25.3,25.8,24.9,25.2,987293
20260617,BERGERPBL,1435,1435.1,1413,1419,9818
20260617,BESTHLDNG,15,15.1,14.7,14.8,574765
20260617,BEXGSUKUK,71.5,73,71.5,72.5,22950
20260617,BEXIMCO,52.8,52.8,52.8,52.8,30059
20260617,BGIC,40.5,40.9,39.5,39.8,150909
20260617,BIFC,4.4,4.6,4.3,4.3,88054
20260617,BNICL,106.1,108.4,99.9,103.9,516355
20260617,BPML,28.8,29.3,28.2,28.5,69502
20260617,BPPL,20.7,21.3,20.3,20.6,4595029
20260617,BRACBANK,66.5,66.5,65.4,65.6,2950935
20260617,BSC,108,108.9,107,107.3,352392
20260617,BSCPLC,147.1,148,146,147.3,69026
20260617,BSRMLTD,91.5,93,91.3,92.9,76041
20260617,BSRMSTEEL,78.1,79.2,77.7,79,167173
20260617,BXPHARMA,132,136.7,131.3,134.7,1980755
20260617,CAPITECGBF,7.6,7.7,7.4,7.5,1660867
20260617,CAPMBDBLMF,10,10.1,9.8,9.9,1126909
20260617,CAPMIBBLMF,9.5,9.7,9.4,9.6,446960
20260617,CENTRALINS,44,44.9,42.7,43.1,690614
20260617,CENTRALPHL,9.3,9.7,9.3,9.6,1598462
20260617,CITYBANK,30.5,30.7,30.3,30.5,3360021
20260617,CITYGENINS,106.1,107,106.1,106.8,27516
20260617,CLICL,56.8,56.8,53.6,54.2,488046
20260617,CNATEX,3.3,3.4,3.2,3.4,3628006
20260617,CONFIDCEM,64.7,64.7,63.7,63.8,310101
20260617,CONTININS,33.3,33.7,32.9,33,440540
20260617,COPPERTECH,27.6,28.6,27.5,28.2,925345
20260617,CRAFTSMAN,38.5,38.5,37,37.2,26400
20260617,CROWNCEMNT,56.1,56.1,54.5,55.1,80844
20260617,CRYSTALINS,73.3,74,71.5,71.9,339936
20260617,CVOPRL,166.7,168.5,165.4,166.3,210727
20260617,DACCADYE,17.5,17.7,17.1,17.4,255811
20260617,DAFODILCOM,157.6,161,155.3,159.8,363589
20260617,DBH,41,41.5,40.9,41,232790
20260617,DBH1STMF,4.7,4.7,4.6,4.6,254392
20260617,DELTALIFE,83.8,84,80.2,80.6,167445
20260617,DELTASPINN,6.9,7,6.8,6.9,442035
20260617,DESCO,24.3,24.3,23.9,23.9,196252
20260617,DESHBANDHU,21.8,22.6,21.6,21.7,1634177
20260617,DGIC,29.5,30,28.9,29.1,658104
20260617,DHAKABANK,12,12.2,12,12,3095128
20260617,DOMINAGE,80,80.9,78,79.9,1178629
20260617,DOREENPWR,32.4,32.7,31.7,31.8,1233517
20260617,DSHGARME,145.1,149.3,141.3,143,126398
20260617,DSSL,11.2,11.5,11,11.1,6089089
20260617,DULAMIACOT,183.5,188.3,179.3,181.9,114056
20260617,DUTCHBANGL,42.9,43.3,42.6,43.1,302208
20260617,EASTERNINS,59,61.2,58.8,59.1,287628
20260617,EASTLAND,26.1,26.4,25.7,26,579857
20260617,EASTRNLUB,1835.2,1849.9,1830,1832.7,7420
20260617,EBL,24.8,25.4,24.4,24.8,1516707
20260617,EBL1STMF,3.8,3.9,3.8,3.8,76247
20260617,EBLNRBMF,3.1,3.2,3,3.1,565899
20260617,ECABLES,124,124.8,121.1,124.7,5988
20260617,EGEN,26.2,27.2,25.8,26.9,3045917
20260617,EHL,89.7,89.7,87.8,88.1,260169
20260617,EIL,30.9,30.9,30,30.3,882752
20260617,EMERALDOIL,23.9,24.2,23,23.2,451795
20260617,ENVOYTEX,52.5,53.2,51.8,52.1,526314
20260617,EPGL,20.6,21.2,20.4,20.6,1981869
20260617,ESQUIRENIT,25.2,25.7,24.7,24.8,954054
20260617,ETL,13.6,13.7,13.1,13.3,8430044
20260617,EXIM1STMF,3.5,3.6,3.5,3.5,372906
20260617,FAMILYTEX,2.9,2.9,2.7,2.8,1684067
20260617,FARCHEM,19,19.7,18.9,19.2,570582
20260617,FAREASTFIN,1.4,1.4,1.3,1.3,633966
20260617,FAREASTLIF,24,24.4,24,24.2,140619
20260617,FASFIN,1.5,1.5,1.3,1.3,988525
20260617,FBFIF,3.2,3.2,3,3.1,308213
20260617,FEDERALINS,28.7,29,27.8,28,1651133
20260617,FEKDIL,17.3,17.8,17.1,17.1,4110227
20260617,FINEFOODS,536.7,552.5,536.5,543.6,75120
20260617,FIRSTFIN,4.4,4.4,4.3,4.3,169101
20260617,FORTUNE,15.7,16,15.4,15.9,679128
20260617,FUWANGCER,14.6,16.5,14.6,15.9,6081764
20260617,FUWANGFOOD,11.2,11.6,11.2,11.5,974095
20260617,GBBPOWER,8.9,8.9,8.7,8.8,328532
20260617,GEMINISEA,119.5,119.5,116.8,117,20952
20260617,GENEXIL,35.4,37.7,35.3,37.2,4524815
20260617,GENNEXT,3.1,3.3,3,3.3,1424494
20260617,GHAIL,15.3,16.4,15.2,15.6,7976667
20260617,GHCL,20.6,20.9,20.6,20.8,96139
20260617,GLDNJMF,6.7,6.8,6.5,6.5,339253
20260617,GLOBALINS,38.5,38.6,37.2,37.6,682128
20260617,GOLDENSON,16.8,17.6,16.8,17.2,6257729
20260617,GP,250.9,252.5,250,251.5,153687
