Date,Scrip,Open,High,Low,Close,Volume
20260520,00DS30,1970.19483,1982.75027,1971.77649,1974.81439,8411223000
20260520,00DSES,1059.45896,1065.98571,1060.80571,1061.76601,8411223000
20260520,00DSEX,5211.54156,5241.71608,5218.91043,5222.38191,8411223000
20260520,00DSMEX,1228.31131,1253.28135,1226.65379,1233.14385,80356000
20260520,1JANATAMF,3,3,2.9,2.9,400016
20260520,1STPRIMFMF,18.5,18.6,18.3,18.3,125849
20260520,AAMRANET,16.1,16.6,16.1,16.4,140971
20260520,AAMRATECH,13.9,13.9,12.8,13,52647
20260520,ABB1STMF,3.1,3.2,3,3.1,1554363
20260520,ABBANK,4.2,4.4,4.1,4.3,594370
20260520,ACFL,20.7,21.2,19.9,20.9,316149
20260520,ACHIASF,33.8,34.5,33.3,34,48218
20260520,ACI,187,188.2,185.5,185.8,15607
20260520,ACIFORMULA,139,139.8,137.7,138.5,23475
20260520,ACMELAB,75.1,75.3,74.9,75,99728
20260520,ACMEPL,23.3,23.9,23.3,23.8,2170133
20260520,ACTIVEFINE,6.9,6.9,6.6,6.8,262865
20260520,ADNTEL,59.8,59.8,59.2,59.4,274048
20260520,ADVENT,14,14.2,13.6,14.1,329839
20260520,AFCAGRO,7,7.2,7,7.1,198269
20260520,AFTABAUTO,28.6,28.9,28.5,28.8,278462
20260520,AGNISYSL,26.4,27,26.2,26.6,2310341
20260520,AGRANINS,24.2,24.8,23.9,24.3,171224
20260520,AIBL1STIMF,4,4,3.9,3.9,207061
20260520,AIL,33.3,33.9,32.2,32.6,199068
20260520,AL-HAJTEX,94.9,94.9,92.6,92.9,197446
20260520,ALARABANK,13.4,13.6,13.4,13.5,9835
20260520,ALIF,5.3,5.4,5.2,5.3,436300
20260520,ALLTEX,16.6,17.4,16.6,17,481194
20260520,AMANFEED,32,32.4,31.6,31.8,1096676
20260520,AMBEEPHA,779.8,800,779.8,783.1,2258
20260520,AMCL(PRAN),213.9,217.4,213.9,216,10719
20260520,AMPL,81.5,84,81.5,83.3,178283
20260520,ANLIMAYARN,23.7,24.4,23.3,24.1,251430
20260520,ANWARGALV,98,98.9,97.1,97.3,295017
20260520,AOL,16.5,16.7,16.3,16.6,236074
20260520,AOPLC,10.3,10.9,10.3,10.6,83771
20260520,APEXFOODS,281,286.5,272.5,275.7,42049
20260520,APEXFOOT,199.4,199.4,195.7,196.1,97264
20260520,APEXSPINN,371,376.8,362,371.1,286053
20260520,APEXTANRY,113.1,116,106,107.6,395314
20260520,APEXWEAV,7.5,7.5,7.3,7.5,46525
20260520,APOLOISPAT,3.4,3.5,3.4,3.5,848083
20260520,ARAMIT,168.6,171,168,168.2,5522
20260520,ARAMITCEM,10.7,11,10.7,11,38415
20260520,ARGONDENIM,17.8,18,17.5,17.6,532375
20260520,ASIAINS,37.8,39.1,37.7,38.4,333116
20260520,ASIAPACINS,42.9,43.5,42.6,43,468127
20260520,ASIATICLAB,119.8,121.2,115.4,120.4,1658050
20260520,ATLASBANG,70.9,72,68.2,71.3,5048
20260520,AZIZPIPES,59.5,59.8,57.7,58,55034
20260520,BANGAS,132.5,133.8,129.9,130.1,76290
20260520,BARKAPOWER,8,8,7.9,7.9,263653
