Date,Scrip,Open,High,Low,Close,Volume
20260402,00DS30,2001.64872,2001.7204,1980.28907,1980.35998,6259952000
20260402,00DSES,1065.45609,1072.07469,1059.37463,1059.5789,6259952000
20260402,00DSEX,5272.79071,5285.82074,5219.73622,5219.73622,6259952000
20260402,00DSMEX,1041.30635,1085.90417,1042.61975,1064.9927,244334000
20260402,1JANATAMF,3.4,3.5,3.2,3.2,2351081
20260402,1STPRIMFMF,18.6,18.6,18,18.1,324210
20260402,AAMRANET,17.1,17.2,16.8,16.9,222627
20260402,AAMRATECH,13.8,14,13.1,13.2,68282
20260402,ABB1STMF,3.9,3.9,3.5,3.5,8251275
20260402,ABBANK,6.2,6.2,5.9,5.9,1274310
20260402,ACFL,18,18,17.8,17.9,24225
20260402,ACHIASF,38.5,38.5,36,36,60835
20260402,ACI,201.9,203.3,197.2,198.3,82981
20260402,ACIFORMULA,138,138.9,137.3,137.9,22324
20260402,ACMELAB,76.4,76.4,75.4,75.5,215090
20260402,ACMEPL,21.2,21.6,20.8,21,8049330
20260402,ACTIVEFINE,7.3,7.5,6.9,7,410523
20260402,ADNTEL,58.8,61.2,58.4,59.7,622864
20260402,ADVENT,14.7,14.8,14.2,14.2,258953
20260402,AFCAGRO,7.3,7.5,7,7.2,286919
20260402,AFTABAUTO,29.4,29.5,29,29,170163
20260402,AGNISYSL,21.2,21.9,21.1,21.4,1742392
20260402,AGRANINS,22,22.1,21.4,21.5,141105
20260402,AIBL1STIMF,4.2,4.4,4,4,1066525
20260402,AIL,30.8,31,29.7,29.9,241039
20260402,AL-HAJTEX,119.9,120,116.6,116.8,173751
20260402,ALARABANK,16.3,16.3,15.7,15.7,27588
20260402,ALIF,5.2,5.4,5.1,5.1,288567
20260402,ALLTEX,14,14.1,13.6,13.7,239755
20260402,AMANFEED,23.7,23.7,23,23.1,181114
20260402,AMBEEPHA,775,790,775,786.5,1988
20260402,AMCL(PRAN),214,214.1,210,212.1,6275
20260402,AMPL,38.7,40.6,38.3,39.9,120922
20260402,ANLIMAYARN,20.3,20.3,19.6,19.6,23039
20260402,ANWARGALV,95.5,95.8,93,93.3,300885
20260402,AOL,16.8,16.8,16.1,16.2,533786
20260402,AOPLC,11.5,12,11.4,11.5,395479
20260402,APEXFOODS,226.4,227.9,223.1,223.8,6060
20260402,APEXFOOT,186.1,189.2,185.5,186.9,66902
20260402,APEXSPINN,214.9,221,210.1,216.8,206664
20260402,APEXTANRY,71,72.4,70,70.4,42358
20260402,APEXWEAV,7.4,7.5,7.1,7.2,124419
20260402,APOLOISPAT,4,4,3.6,3.6,1394449
20260402,APSCLBOND,1321,1321,1320,1320.5,2
20260402,ARAMIT,173.5,177,170,170.6,2201
20260402,ARAMITCEM,11.9,11.9,11.4,11.5,21213
20260402,ARGONDENIM,17.5,17.7,17.2,17.3,855219
20260402,ASIAINS,42.1,42.7,39.9,40.3,999329
20260402,ASIAPACINS,38.8,39,36.9,37.2,132566
20260402,ASIATICLAB,80.3,81.4,78.8,79.7,1117836
20260402,ATLASBANG,81,81.1,75,75.4,85740
20260402,AZIZPIPES,53.1,53.1,50.7,50.8,23026
20260402,BANGAS,124.9,125.5,121.1,121.5,127936
20260402,BANKASIA,21.9,22,21.5,21.6,298508
20260402,BARKAPOWER,8,8.1,7.8,7.9,355446
20260402,BATASHOE,849,849,841,843.1,687
20260402,BATBC,221,221,217,219.9,146419
20260402,BAYLEASING,5.1,5.3,5,5.1,365666
20260402,BBS,12,12,11.5,11.6,1551632
20260402,BBSCABLES,19.8,19.8,19,19.1,2435270
20260402,BDAUTOCA,189.5,191.7,180,181.1,224395
20260402,BDCOM,27.6,29.2,27.4,28.2,4288053
20260402,BDFINANCE,13.6,13.8,13,13,193912
20260402,BDLAMPS,143.4,145.8,139.8,140.2,22357
20260402,BDPAINTS,39.4,40.9,39,39.4,120754
20260402,BDTHAI,13.2,13.2,12.5,12.6,3607622
20260402,BDTHAIFOOD,18.9,19.1,17.9,18.1,3738085
20260402,BDWELDING,18.4,18.4,16.8,17.1,96266
20260402,BEACHHATCH,31.9,32,31.5,31.6,158096
20260402,BEACONPHAR,105,105,101.5,101.8,217078
20260402,BENGALBISC,60.2,60.2,60.1,60.2,1009
20260402,BENGALWTL,19.4,19.4,18.7,18.8,391312
20260402,BERGERPBL,1404.5,1404.5,1391,1391.4,892
20260402,BESTHLDNG,13.4,13.4,13.1,13.1,298638
20260402,BEXGSUKUK,62,65,62,64.5,36777
20260402,BEXIMCO,110.1,110.1,110.1,110.1,5
