Date,Scrip,Open,High,Low,Close,Volume
20260224,00DS30,2137.50591,2155.88947,2140.50575,2143.58622,8248941000
20260224,00DSES,1106.63432,1114.04202,1100.7606,1101.20194,8248941000
20260224,00DSEX,5553.07861,5584.84572,5541.97775,5542.36303,8248941000
20260224,00DSMEX,957.67756,984.34116,945.09424,946.26532,76246000
20260224,1JANATAMF,2.9,3,2.8,2.8,1661940
20260224,AAMRANET,16.9,17.3,16.9,17.2,160487
20260224,AAMRATECH,12.2,12.7,12.1,12.2,66671
20260224,ABB1STMF,2.9,3.1,2.9,2.9,3080204
20260224,ABBANK,6.8,6.9,6.5,6.6,4826789
20260224,ABBLPBOND,1000,1000,1000,1000,19844
20260224,ACFL,18.7,18.7,18,18,8600
20260224,ACHIASF,49.2,49.2,48.5,48.5,32350
20260224,ACI,220.8,224.5,217,217.7,232479
20260224,ACIFORMULA,150.4,150.7,147.8,147.9,82763
20260224,ACMELAB,81.1,81.5,80,80.2,481234
20260224,ACMEPL,17,17.1,16.5,16.6,1574655
20260224,ACTIVEFINE,6.8,6.9,6.6,6.7,396284
20260224,ADNTEL,64.1,66.8,64.1,64.9,726000
20260224,ADVENT,14.2,14.3,14,14.1,222911
20260224,AFCAGRO,7.2,7.4,7.1,7.1,214311
20260224,AFTABAUTO,30.3,30.3,29.5,29.6,306159
20260224,AGNISYSL,22,22.6,21.8,21.9,1445576
20260224,AGRANINS,24.1,24.4,23.6,23.8,39352
20260224,AIBL1STIMF,4,4,3.8,3.9,833807
20260224,AIL,28.5,28.8,28,28.2,134940
20260224,AL-HAJTEX,132.9,133.7,129.6,130.6,111563
20260224,ALARABANK,16.1,16.2,15.9,16,385194
20260224,ALIF,4.7,4.7,4.5,4.6,372786
20260224,ALLTEX,15.7,16.2,15.3,15.4,1656714
20260224,AMANFEED,24.6,24.6,24,24.2,573793
20260224,AMBEEPHA,770,795,768,772.6,853
20260224,AMCL(PRAN),216,217.4,210,213.2,7647
20260224,AMPL,37,40,36.3,37,11638
20260224,ANLIMAYARN,19.3,19.7,18.8,19.5,79548
20260224,ANWARGALV,105,107.9,103.3,103.9,1314442
20260224,AOL,16.1,16.3,15.7,15.8,232488
20260224,AOPLC,11.5,11.5,10.7,10.9,20839
20260224,APEXFOODS,238.9,238.9,233.1,234.5,11844
20260224,APEXFOOT,192,192.5,191,191.2,59084
20260224,APEXSPINN,207,214,207,212,118496
20260224,APEXTANRY,72.8,72.8,70.1,70.2,19022
20260224,APEXWEAV,7.1,7.2,7,7.2,30492
20260224,APOLOISPAT,2.7,2.8,2.7,2.8,3636223
20260224,APSCLBOND,1815,1815,1815,1815,35
20260224,ARAMIT,174.7,175,170,172.3,5345
20260224,ARAMITCEM,11.9,12,11.6,11.9,13529
20260224,ARGONDENIM,17.7,17.7,17.5,17.5,207764
20260224,ASIAINS,43.7,43.7,41.5,41.7,942526
20260224,ASIAPACINS,40.5,40.8,39,39.1,135341
20260224,ASIATICLAB,61,63.2,60.9,61.9,1862183
20260224,ATLASBANG,54.6,54.7,54.5,54.6,1200
20260224,AZIZPIPES,45.4,49.8,45,49.7,60438
20260224,BANGAS,125,127.7,123.6,123.9,98641
20260224,BANKASIA,21,21,20.9,21,2644737
20260224,BARKAPOWER,8,8.1,7.9,8,76016
20260224,BATASHOE,836,844.8,836,837.9,238
20260224,BATBC,277,279.6,277,277.6,147088
20260224,BAYLEASING,5.5,5.7,5.4,5.4,1667282
20260224,BBS,10.3,10.4,9.9,10,701351
20260224,BBSCABLES,16.4,16.5,16,16.3,419811
20260224,BDAUTOCA,144,144,141.1,141.9,134121
